disasterNumber,state,declarationDate,disasterType,title
4246,ID,12/23/2015,DR,SEVERE STORM AND STRAIGHT-LINE WIND
4247,OK,12/29/2015,DR,SEVERE WINTER STORMS AND FLOODING
5051,CA,1/16/2014,FM,COLBY FIRE
5052,OK,5/5/2014,FM,GUTHRIE FIRE
5053,TX,5/12/2014,FM,DOUBLE DIAMOND FIRE
5054,CA,5/14/2014,FM,POINSETTIA FIRE
5055,CA,5/14/2014,FM,COCOS FIRE
5056,OR,6/8/2014,FM,TWO BULLS FIRE 
5057,CA,7/2/2014,FM,BUTTS FIRE
5058,WA,7/10/2014,FM,LAKE SPOKANE FIRE 
5059,WA,7/10/2014,FM,MILLS CANYON FIRE 
5060,OR,7/14/2014,FM,MOCCASIN HILLS FIRE
5061,WA,7/17/2014,FM,CHIWAUKUM FIRE 
5062,WA,7/17/2014,FM,CARLTON COMPLEX FIRE
5063,WA,7/19/2014,FM,WATERMELON HILL FIRE
5064,WA,7/19/2014,FM,SADDLE MOUNTAIN FIRE
5065,UT,7/21/2014,FM,ANACONDA FIRE
5066,OR,8/1/2014,FM,OREGON GULCH FIRE
5067,CA,8/2/2014,FM,EILER FIRE
5068,CA,8/2/2014,FM,OREGON GULCH FIRE
5069,CA,8/3/2014,FM,BALD FIRE
5070,CA,8/3/2014,FM,DAY FIRE
5071,WA,8/3/2014,FM,SNAG CANYON FIRE
5072,WA,8/6/2014,FM,HANSEL FIRE
5073,OR,8/6/2014,FM,ROWENA FIRE
5074,CA,8/19/2014,FM,JUNCTION FIRE
5075,CA,8/19/2014,FM,WAY FIRE
5076,CA,8/25/2014,FM,OREGON FIRE
5077,CA,9/5/2014,FM,BRIDGE FIRE
5078,CA,9/14/2014,FM,COURTNEY FIRE
5079,CA,9/15/2014,FM,BOLES FIRE
5080,OR,9/16/2014,FM,36 PIT FIRE
5081,CA,9/17/2014,FM,KING FIRE
5082,CA,10/8/2014,FM,APPLEGATE FIRE
5083,AZ,11/6/2014,FM,SLIDE FIRE
5084,AK,6/15/2015,FM,SOCKEYE FIRE
5085,AK,6/16/2015,FM,CARD STREET FIRE
5086,AZ,6/17/2015,FM,KEARNY RIVER FIRE
5087,WA,6/29/2015,FM,SLEEPY HOLLOW FIRE
5088,ID,7/6/2015,FM,CAPE HORN FIRE
5089,CA,7/17/2015,FM,NORTH FIRE
5090,WA,7/21/2015,FM,BLUE CREEK FIRE
5091,CA,7/23/2015,FM,WRAGG FIRE
5092,OR,7/31/2015,FM,STOUTS CREEK FIRE
5093,CA,8/2/2015,FM,ROCKY FIRE
5094,WA,8/5/2015,FM,HIGHWAY 8 FIRE
5095,AZ,8/9/2015,FM,WILLOW FIRE
5096,OR,8/9/2015,FM,KRAUSS LANE FIRE
5097,OR,8/13/2015,FM,CORNET AND WINDY RIDGE FIRE COMPLEX
5098,WA,8/14/2015,FM,NINE MILE FIRE
5099,ID,8/14/2015,FM,CLEARWATER LAWYER BRANCH FIRE COMPLEX
5100,WA,8/14/2015,FM,CHELAN FIRE COMPLEX
5101,WA,8/15/2015,FM,STICKPIN FIRE
5102,OR,8/15/2015,FM,CANYON CREEK FIRE COMPLEX
5103,WA,8/15/2015,FM,STEVENS COUNTY FIRE COMPLEX
5104,WA,8/15/2015,FM,OKANAGAN COUNTY FIRE COMPLEX
5105,ID,8/15/2015,FM, MUNICIPAL FIRE
5106,WA,8/19/2015,FM,TWISP RIVER FIRE
5107,OR,8/21/2015,FM,GRIZZLY BEAR FIRE COMPLEX
5108,WA,8/21/2015,FM,RENNER FIRE
5109,WA,8/24/2015,FM,GOODELL FIRE
5110,ID,8/29/2015,FM,TEPEE SPRINGS FIRE
5111,CA,9/10/2015,FM,BUTTE FIRE
5112,CA,9/13/2015,FM,VALLEY FIRE
5113,WA,9/14/2015,FM,HORSETHIEF BUTTE FIRE
5114,OR,9/14/2015,FM,DRY GULCH FIRE
5115,WY,10/11/2015,FM,STATION FIRE
5116,TX,10/14/2015,FM,HIDDEN PINES FIRE  
5117,OK,11/11/2015,FM,DLD FIRE COMPLEX
